Block	Cultivar	SowTreat	SowingD	Plot	Depth	Date	Round	InitialSeedlotR1Number	SeedNumber	Soft	SoftGerm	SoftUngerm	SoftAbn	SoftDead	HardUngermFinal
2	Leura	S2	28/07/2015	25	down	27/05/2016	2	50	23	1	1	0	0	0	0
2	Woogenellup	S2	28/07/2015	26	down	27/05/2016	2	50	36	0	0	0	0	0	0
2	Denmark	S2	28/07/2015	27	down	27/05/2016	2	50	33	1	1	0	0	0	0
2	Narrikup	S2	28/07/2015	28	down	27/05/2016	2	50	28	0	0	0	0	0	0
2	Antas 	S2	28/07/2015	29	down	27/05/2016	2	50	13	5	4	1	0	0	0
2	Monti	S2	28/07/2015	30	down	27/05/2016	2	50	43	3	3	0	0	0	0
3	Denmark	S2	28/07/2015	31	down	27/05/2016	2	50	44	1	0	1	0	0	0
3	Antas 	S2	28/07/2015	32	down	27/05/2016	2	50	34	6	6	0	0	0	0
3	Monti	S2	28/07/2015	33	down	27/05/2016	2	50	42	2	2	0	0	0	0
3	Woogenellup	S2	28/07/2015	34	down	27/05/2016	2	50	8	1	0	1	0	0	0
3	Leura	S2	28/07/2015	35	down	27/05/2016	2	50	33	1	1	0	0	0	0
3	Narrikup	S2	28/07/2015	36	down	27/05/2016	2	50	14	0	0	0	0	0	0
1	Denmark	S3	15/09/2015	37	up	20/05/2016	1	50	50	8	7	0	0	1	0
1	Antas 	S3	15/09/2015	38	up	20/05/2016	1	50	50	20	18	0	0	2	0
1	Woogenellup	S3	15/09/2015	39	up	20/05/2016	1	50	50	8	8	0	0	0	0
1	Leura	S3	15/09/2015	40	up	20/05/2016	1	50	50	1	1	0	0	0	0
1	Narrikup	S3	15/09/2015	41	up	20/05/2016	1	50	50	10	10	0	0	0	0
1	Monti	S3	15/09/2015	42	up	20/05/2016	1	50	50	2	2	0	0	0	0
2	Woogenellup	S3	15/09/2015	43	up	20/05/2016	1	50	50	10	10	0	0	0	0
2	Leura	S3	15/09/2015	44	up	20/05/2016	1	50	50	5	5	0	0	0	0
2	Narrikup	S3	15/09/2015	45	up	20/05/2016	1	50	50	5	4	1	0	0	0
2	Antas 	S3	15/09/2015	46	up	20/05/2016	1	50	50	11	9	0	1	1	0
2	Denmark	S3	15/09/2015	47	up	20/05/2016	1	50	50	3	2	0	0	1	0
2	Monti	S3	15/09/2015	48	up	20/05/2016	1	50	50	6	6	0	0	0	0
3	Leura	S3	15/09/2015	49	up	20/05/2016	1	50	50	3	3	0	0	0	0
3	Woogenellup	S3	15/09/2015	50	up	20/05/2016	1	50	50	7	6	1	0	0	0
3	Antas 	S3	15/09/2015	51	up	20/05/2016	1	50	50	12	11	0	1	0	0
3	Monti	S3	15/09/2015	52	up	20/05/2016	1	50	50	2	2	0	0	0	0
3	Narrikup	S3	15/09/2015	53	up	20/05/2016	1	50	50	7	7	0	0	0	0
3	Denmark	S3	15/09/2015	54	up	20/05/2016	1	50	50	6	6	0	0	0	0
1	Denmark	S3	15/09/2015	37	down	20/05/2016	1	50	50	13	12	0	0	1	0
1	Antas 	S3	15/09/2015	38	down	20/05/2016	1	50	50	34	29	4	0	1	0
1	Woogenellup	S3	15/09/2015	39	down	20/05/2016	1	50	50	16	10	6	0	0	0
1	Leura	S3	15/09/2015	40	down	20/05/2016	1	50	50	9	8	0	0	1	0
1	Narrikup	S3	15/09/2015	41	down	20/05/2016	1	50	50	7	5	2	0	0	0
1	Monti	S3	15/09/2015	42	down	20/05/2016	1	50	50	6	6	0	0	0	0
2	Woogenellup	S3	15/09/2015	43	down	20/05/2016	1	50	50	13	2	11	0	0	0
2	Leura	S3	15/09/2015	44	down	20/05/2016	1	50	50	13	13	0	0	0	0
2	Narrikup	S3	15/09/2015	45	down	20/05/2016	1	50	50	13	10	1	2	0	0
2	Antas 	S3	15/09/2015	46	down	20/05/2016	1	50	50	20	20	0	0	0	0
2	Denmark	S3	15/09/2015	47	down	20/05/2016	1	50	50	10	7	0	2	1	0
2	Monti	S3	15/09/2015	48	down	20/05/2016	1	50	50	4	4	0	0	0	0
3	Leura	S3	15/09/2015	49	down	20/05/2016	1	50	50	4	3	0	0	1	0
3	Woogenellup	S3	15/09/2015	50	down	20/05/2016	1	50	50	9	8	0	1	0	0
