Block	Cultivar	SowTreat	SowingD	Plot	Depth	Date	Round	InitialSeedlotR1Number	SeedNumber	Soft
3	Denmark	S2	28/07/2015	31	Below	27/05/2016	35	50	44	1
3	Antas 	S2	28/07/2015	32	Below	27/05/2016	35	50	34	6
3	Monti	S2	28/07/2015	33	Below	27/05/2016	35	50	42	2
3	Woogenellup	S2	28/07/2015	34	Below	27/05/2016	35	50	8	1
3	Leura	S2	28/07/2015	35	Below	27/05/2016	35	50	33	1
3	Narrikup	S2	28/07/2015	36	Below	27/05/2016	35	50	14	0
1	Denmark	S3	15/09/2015	37	Above	20/05/2016	14	50	50	8
1	Antas 	S3	15/09/2015	38	Above	20/05/2016	14	50	50	20
1	Woogenellup	S3	15/09/2015	39	Above	20/05/2016	14	50	50	8
1	Leura	S3	15/09/2015	40	Above	20/05/2016	14	50	50	1
1	Narrikup	S3	15/09/2015	41	Above	20/05/2016	14	50	50	10
1	Monti	S3	15/09/2015	42	Above	20/05/2016	14	50	50	2
2	Woogenellup	S3	15/09/2015	43	Above	20/05/2016	14	50	50	10
2	Leura	S3	15/09/2015	44	Above	20/05/2016	14	50	50	5
2	Narrikup	S3	15/09/2015	45	Above	20/05/2016	14	50	50	5
2	Antas 	S3	15/09/2015	46	Above	20/05/2016	14	50	50	11
2	Denmark	S3	15/09/2015	47	Above	20/05/2016	14	50	50	3
2	Monti	S3	15/09/2015	48	Above	20/05/2016	14	50	50	6
3	Leura	S3	15/09/2015	49	Above	20/05/2016	14	50	50	3
3	Woogenellup	S3	15/09/2015	50	Above	20/05/2016	14	50	50	7
3	Antas 	S3	15/09/2015	51	Above	20/05/2016	14	50	50	12
3	Monti	S3	15/09/2015	52	Above	20/05/2016	14	50	50	2
3	Narrikup	S3	15/09/2015	53	Above	20/05/2016	14	50	50	7
3	Denmark	S3	15/09/2015	54	Above	20/05/2016	14	50	50	6
1	Denmark	S3	15/09/2015	37	Below	20/05/2016	14	50	50	13
1	Antas 	S3	15/09/2015	38	Below	20/05/2016	14	50	50	34
1	Woogenellup	S3	15/09/2015	39	Below	20/05/2016	14	50	50	16
1	Leura	S3	15/09/2015	40	Below	20/05/2016	14	50	50	9
1	Narrikup	S3	15/09/2015	41	Below	20/05/2016	14	50	50	7
1	Monti	S3	15/09/2015	42	Below	20/05/2016	14	50	50	6
2	Woogenellup	S3	15/09/2015	43	Below	20/05/2016	14	50	50	13
2	Leura	S3	15/09/2015	44	Below	20/05/2016	14	50	50	13
2	Narrikup	S3	15/09/2015	45	Below	20/05/2016	14	50	50	13
2	Antas 	S3	15/09/2015	46	Below	20/05/2016	14	50	50	20
2	Denmark	S3	15/09/2015	47	Below	20/05/2016	14	50	50	10
2	Monti	S3	15/09/2015	48	Below	20/05/2016	14	50	50	4
3	Leura	S3	15/09/2015	49	Below	20/05/2016	14	50	50	4
3	Woogenellup	S3	15/09/2015	50	Below	20/05/2016	14	50	50	9
3	Antas 	S3	15/09/2015	51	Below	20/05/2016	14	50	50	20
3	Monti	S3	15/09/2015	52	Below	20/05/2016	14	50	50	6
3	Narrikup	S3	15/09/2015	53	Below	20/05/2016	14	50	50	11
3	Denmark	S3	15/09/2015	54	Below	20/05/2016	14	50	50	1
1	Antas 	S1	24/06/2015	1	Above	3/06/2016	77	50	34	2
1	Monti	S1	24/06/2015	2	Above	3/06/2016	77	50	36	2
1	Denmark	S1	24/06/2015	3	Above	3/06/2016	77	50	36	4
1	Leura	S1	24/06/2015	4	Above	3/06/2016	77	50	38	1
1	Narrikup	S1	24/06/2015	5	Above	3/06/2016	77	50	44	4
1	Woogenellup	S1	24/06/2015	6	Above	3/06/2016	77	50	30	0
2	Antas 	S1	24/06/2015	7	Above	3/06/2016	77	50	40	1
2	Woogenellup	S1	24/06/2015	8	Above	3/06/2016	77	50	38	3
2	Denmark	S1	24/06/2015	9	Above	3/06/2016	77	50	37	0
2	Monti	S1	24/06/2015	10	Above	3/06/2016	77	50	39	2
2	Narrikup	S1	24/06/2015	11	Above	3/06/2016	77	50	35	3
2	Leura	S1	24/06/2015	12	Above	3/06/2016	77	50	34	1
3	Woogenellup	S1	24/06/2015	13	Above	3/06/2016	77	50	38	0
3	Antas 	S1	24/06/2015	14	Above	3/06/2016	77	50	44	3
3	Monti	S1	24/06/2015	15	Above	3/06/2016	77	50	38	3
3	Narrikup	S1	24/06/2015	16	Above	3/06/2016	77	50	42	1
3	Denmark	S1	24/06/2015	17	Above	3/06/2016	77	50	37	0
3	Leura	S1	24/06/2015	18	Above	3/06/2016	77	50	22	0
1	Antas 	S1	24/06/2015	1	Below	3/06/2016	77	24	14	0
1	Monti	S1	24/06/2015	2	Below	3/06/2016	77	50	39	2
1	Denmark	S1	24/06/2015	3	Below	3/06/2016	77	50	31	6
1	Leura	S1	24/06/2015	4	Below	3/06/2016	77	50	25	2
1	Narrikup	S1	24/06/2015	5	Below	3/06/2016	77	50	41	5
1	Woogenellup	S1	24/06/2015	6	Below	3/06/2016	77	50	32	1
2	Antas 	S1	24/06/2015	7	Below	3/06/2016	77	50	36	0
2	Woogenellup	S1	24/06/2015	8	Below	3/06/2016	77	50	36	1
2	Denmark	S1	24/06/2015	9	Below	3/06/2016	77	50	41	3
2	Monti	S1	24/06/2015	10	Below	3/06/2016	77	50	40	5
2	Narrikup	S1	24/06/2015	11	Below	3/06/2016	77	50	40	6
2	Leura	S1	24/06/2015	12	Below	3/06/2016	77	50	29	1
3	Woogenellup	S1	24/06/2015	13	Below	3/06/2016	77	50	32	0
3	Antas 	S1	24/06/2015	14	Below	3/06/2016	77	50	31	2
3	Monti	S1	24/06/2015	15	Below	3/06/2016	77	50	41	3
3	Narrikup	S1	24/06/2015	16	Below	3/06/2016	77	50	45	4
3	Denmark	S1	24/06/2015	17	Below	3/06/2016	77	50	33	2
3	Leura	S1	24/06/2015	18	Below	3/06/2016	77	50	28	1
1	Narrikup	S2	28/07/2015	19	Above	20/06/2016	56	50	26	1
1	Monti	S2	28/07/2015	20	Above	20/06/2016	56	50	48	4
1	Woogenellup	S2	28/07/2015	21	Above	20/06/2016	56	50	39	2
1	Leura	S2	28/07/2015	22	Above	20/06/2016	56	50	43	0
1	Denmark	S2	28/07/2015	23	Above	20/06/2016	56	50	27	0
