"Date" "TT"
"507" 2016-11-11 5870.049507251
"508" 2016-11-12 5880.730507251
"509" 2016-11-13 5892.112007251
"510" 2016-11-14 5904.363507251
"511" 2016-11-15 5917.070507251
"512" 2016-11-16 5933.087507251
"513" 2016-11-17 5944.009507251
"514" 2016-11-18 5955.066007251
"515" 2016-11-19 5969.261007251
"516" 2016-11-20 5981.994507251
"517" 2016-11-21 5999.993007251
"518" 2016-11-22 6018.586507251
"519" 2016-11-23 6035.707507251
