"Block" "Cultivar" "SowTreat" "SowingD" "Plot" "Depth" "Date" "Round" "SeedNumber" "Soft" "PropSoft" "hardSeed" "transf_no" "transf_sqr" "transf_log" "transf_acos" "transf_power3" "transf_log10"
"67" "3" "Denmark" "S2" "28/07/2015" "31" "down" 2016-03-16 1 50 6 12 88 88 9.38083151964686 4.47733681447821 0.494934126340896 681472 1.94448267215017
"68" "3" "Antas" "S2" "28/07/2015" "32" "down" 2016-03-16 1 50 16 32 68 68 8.24621125123532 4.21950770517611 0.823033692134976 314432 1.83250891270624
"69" "3" "Monti" "S2" "28/07/2015" "33" "down" 2016-03-16 1 50 8 16 84 84 9.16515138991168 4.43081679884331 0.573513104423097 592704 1.92427928606188
"70" "3" "Woogenellup" "S2" "28/07/2015" "34" "down" 2016-03-16 1 50 42 84 16 16 4 2.77258872223978 1.41010567384299 4096 1.20411998265592
"71" "3" "Leura" "S2" "28/07/2015" "35" "down" 2016-03-16 1 50 17 34 66 66 8.12403840463596 4.18965474202643 0.849977565924807 287496 1.81954393554187
"72" "3" "Narrikup" "S2" "28/07/2015" "36" "down" 2016-03-16 1 50 36 72 28 28 5.29150262212918 3.3322045101752 1.28700221758657 21952 1.44715803134222
"73" "1" "Denmark" "S3" "15/09/2015" "37" "up" 2016-05-20 1 50 8 16 84 84 9.16515138991168 4.43081679884331 0.573513104423097 592704 1.92427928606188
"74" "1" "Antas" "S3" "15/09/2015" "38" "up" 2016-05-20 1 50 20 40 60 60 7.74596669241483 4.0943445622221 0.927295218001612 216000 1.77815125038364
"75" "1" "Woogenellup" "S3" "15/09/2015" "39" "up" 2016-05-20 1 50 8 16 84 84 9.16515138991168 4.43081679884331 0.573513104423097 592704 1.92427928606188
"76" "1" "Leura" "S3" "15/09/2015" "40" "up" 2016-05-20 1 50 1 2 98 98 9.89949493661167 4.58496747867057 0.20033484232312 941192 1.99122607569249
"77" "1" "Narrikup" "S3" "15/09/2015" "41" "up" 2016-05-20 1 50 10 20 80 80 8.94427190999916 4.38202663467388 0.643501108793284 512000 1.90308998699194
"78" "1" "Monti" "S3" "15/09/2015" "42" "up" 2016-05-20 1 50 2 4 96 96 9.79795897113271 4.56434819146784 0.283794109208328 884736 1.98227123303957
"79" "2" "Woogenellup" "S3" "15/09/2015" "43" "up" 2016-05-20 1 50 10 20 80 80 8.94427190999916 4.38202663467388 0.643501108793284 512000 1.90308998699194
"80" "2" "Leura" "S3" "15/09/2015" "44" "up" 2016-05-20 1 50 5 10 90 90 9.48683298050514 4.49980967033027 0.451026811796262 729000 1.95424250943932
"81" "2" "Narrikup" "S3" "15/09/2015" "45" "up" 2016-05-20 1 50 5 10 90 90 9.48683298050514 4.49980967033027 0.451026811796262 729000 1.95424250943932
"82" "2" "Antas" "S3" "15/09/2015" "46" "up" 2016-05-20 1 50 11 22 78 78 8.83176086632785 4.35670882668959 0.676130509560661 474552 1.89209460269048
"83" "2" "Denmark" "S3" "15/09/2015" "47" "up" 2016-05-20 1 50 3 6 94 94 9.69535971483266 4.54329478227 0.348166021272961 830584 1.9731278535997
"84" "2" "Monti" "S3" "15/09/2015" "48" "up" 2016-05-20 1 50 6 12 88 88 9.38083151964686 4.47733681447821 0.494934126340896 681472 1.94448267215017
"85" "3" "Leura" "S3" "15/09/2015" "49" "up" 2016-05-20 1 50 3 6 94 94 9.69535971483266 4.54329478227 0.348166021272961 830584 1.9731278535997
"86" "3" "Woogenellup" "S3" "15/09/2015" "50" "up" 2016-05-20 1 50 7 14 86 86 9.2736184954957 4.45434729625351 0.535526654314388 636056 1.93449845124357
"87" "3" "Antas" "S3" "15/09/2015" "51" "up" 2016-05-20 1 50 12 24 76 76 8.71779788708135 4.33073334028633 0.707483211779343 438976 1.88081359228079
"88" "3" "Monti" "S3" "15/09/2015" "52" "up" 2016-05-20 1 50 2 4 96 96 9.79795897113271 4.56434819146784 0.283794109208328 884736 1.98227123303957
"89" "3" "Narrikup" "S3" "15/09/2015" "53" "up" 2016-05-20 1 50 7 14 86 86 9.2736184954957 4.45434729625351 0.535526654314388 636056 1.93449845124357
"90" "3" "Denmark" "S3" "15/09/2015" "54" "up" 2016-05-20 1 50 6 12 88 88 9.38083151964686 4.47733681447821 0.494934126340896 681472 1.94448267215017
"91" "1" "Denmark" "S3" "15/09/2015" "37" "down" 2016-05-20 1 50 13 26 74 74 8.60232526704263 4.30406509320417 0.737725968453249 405224 1.86923171973098
"92" "1" "Antas" "S3" "15/09/2015" "38" "down" 2016-05-20 1 50 34 68 32 32 5.65685424949238 3.46573590279973 1.24506683950027 32768 1.50514997831991
"93" "1" "Woogenellup" "S3" "15/09/2015" "39" "down" 2016-05-20 1 50 16 32 68 68 8.24621125123532 4.21950770517611 0.823033692134976 314432 1.83250891270624
"94" "1" "Leura" "S3" "15/09/2015" "40" "down" 2016-05-20 1 50 9 18 82 82 9.05538513813742 4.40671924726425 0.609385308030795 551368 1.91381385238372
"95" "1" "Narrikup" "S3" "15/09/2015" "41" "down" 2016-05-20 1 50 7 14 86 86 9.2736184954957 4.45434729625351 0.535526654314388 636056 1.93449845124357
"96" "1" "Monti" "S3" "15/09/2015" "42" "down" 2016-05-20 1 50 6 12 88 88 9.38083151964686 4.47733681447821 0.494934126340896 681472 1.94448267215017
"97" "2" "Woogenellup" "S3" "15/09/2015" "43" "down" 2016-05-20 1 50 13 26 74 74 8.60232526704263 4.30406509320417 0.737725968453249 405224 1.86923171973098
"98" "2" "Leura" "S3" "15/09/2015" "44" "down" 2016-05-20 1 50 13 26 74 74 8.60232526704263 4.30406509320417 0.737725968453249 405224 1.86923171973098
"99" "2" "Narrikup" "S3" "15/09/2015" "45" "down" 2016-05-20 1 50 13 26 74 74 8.60232526704263 4.30406509320417 0.737725968453249 405224 1.86923171973098
"100" "2" "Antas" "S3" "15/09/2015" "46" "down" 2016-05-20 1 50 20 40 60 60 7.74596669241483 4.0943445622221 0.927295218001612 216000 1.77815125038364
"101" "2" "Denmark" "S3" "15/09/2015" "47" "down" 2016-05-20 1 50 10 20 80 80 8.94427190999916 4.38202663467388 0.643501108793284 512000 1.90308998699194
"102" "2" "Monti" "S3" "15/09/2015" "48" "down" 2016-05-20 1 50 4 8 92 92 9.59166304662544 4.52178857704904 0.402715841580661 778688 1.96378782734556
"103" "3" "Leura" "S3" "15/09/2015" "49" "down" 2016-05-20 1 50 4 8 92 92 9.59166304662544 4.52178857704904 0.402715841580661 778688 1.96378782734556
"104" "3" "Woogenellup" "S3" "15/09/2015" "50" "down" 2016-05-20 1 50 9 18 82 82 9.05538513813742 4.40671924726425 0.609385308030795 551368 1.91381385238372
"105" "3" "Antas" "S3" "15/09/2015" "51" "down" 2016-05-20 1 50 20 40 60 60 7.74596669241483 4.0943445622221 0.927295218001612 216000 1.77815125038364
"106" "3" "Monti" "S3" "15/09/2015" "52" "down" 2016-05-20 1 50 6 12 88 88 9.38083151964686 4.47733681447821 0.494934126340896 681472 1.94448267215017
"107" "3" "Narrikup" "S3" "15/09/2015" "53" "down" 2016-05-20 1 50 11 22 78 78 8.83176086632785 4.35670882668959 0.676130509560661 474552 1.89209460269048
"108" "3" "Denmark" "S3" "15/09/2015" "54" "down" 2016-05-20 1 50 1 2 98 98 9.89949493661167 4.58496747867057 0.20033484232312 941192 1.99122607569249
"109" "1" "Narrikup" "S4" "5/11/2015" "55" "up" 2016-07-06 1 50 7 14 86 86 9.2736184954957 4.45434729625351 0.535526654314388 636056 1.93449845124357
"110" "1" "Antas" "S4" "5/11/2015" "56" "up" 2016-07-06 1 50 28 56 44 44 6.6332495807108 3.78418963391826 1.11519765339907 85184 1.64345267648619
"111" "1" "Denmark" "S4" "5/11/2015" "57" "up" 2016-07-06 1 50 11 22 78 78 8.83176086632785 4.35670882668959 0.676130509560661 474552 1.89209460269048
"112" "1" "Leura" "S4" "5/11/2015" "58" "up" 2016-07-06 1 50 9 18 82 82 9.05538513813742 4.40671924726425 0.609385308030795 551368 1.91381385238372
"113" "1" "Monti" "S4" "5/11/2015" "59" "up" 2016-07-06 1 50 6 12 88 88 9.38083151964686 4.47733681447821 0.494934126340896 681472 1.94448267215017
"114" "1" "Woogenellup" "S4" "5/11/2015" "60" "up" 2016-07-06 1 50 11 22 78 78 8.83176086632785 4.35670882668959 0.676130509560661 474552 1.89209460269048
"115" "2" "Antas" "S4" "5/11/2015" "61" "up" 2016-07-06 1 50 34 68 32 32 5.65685424949238 3.46573590279973 1.24506683950027 32768 1.50514997831991
"116" "2" "Woogenellup" "S4" "5/11/2015" "62" "up" 2016-07-06 1 50 6 12 88 88 9.38083151964686 4.47733681447821 0.494934126340896 681472 1.94448267215017
"117" "2" "Narrikup" "S4" "5/11/2015" "63" "up" 2016-07-06 1 50 18 36 64 64 8 4.15888308335967 0.876298061168341 262144 1.80617997398389
"118" "2" "Leura" "S4" "5/11/2015" "64" "up" 2016-07-06 1 50 14 28 72 72 8.48528137423857 4.27666611901606 0.766994007861867 373248 1.85733249643127
"119" "2" "Denmark" "S4" "5/11/2015" "65" "up" 2016-07-06 1 50 2 4 96 96 9.79795897113271 4.56434819146784 0.283794109208328 884736 1.98227123303957
