Plot	Block	Cultivar	SowTreat	DAS	sample_area_m2	Layer	bur_total_weight_g	bur_no_subSample	bur_weight_subSample_g	seedNo	seed_weight_g	IndividualBurrWeight_g	TotalNumberofBurrs	Percent_Burrsburied 	IndividualSeedWeight_g	Seedsperbur	NumberTotalBurrs	TotalNumberSeeds	Seedsperm2	gseedsperm2	TSW_g
67	3	Leura	S4	197	0.1	Down	0.95	28	0.95	63	0.139	0.033928571	28	*	0.002	2.250	28.000	63.000	630.000	1417.500	2.206
68	3	Monti	S4	197	0.1	Up	26.9	50	1.206	155	0.8122	0.02412	1115.257048	31.33548526	0.005	3.100	1115.257	3457.297	34572.968	107176.202	5.240
68	3	Monti	S4	197	0.1	Down	24.44	50	2.401	99	1.176	0.04802	508.9546022	*	0.012	1.980	508.955	1007.730	10077.301	19953.056	11.879
69	3	Narrikup	S4	197	0.1	Up	28.26	50	2.811	199	1.224	0.05622	502.6680896	29.92312622	0.006	3.980	502.668	2000.619	20006.190	79624.636	6.151
69	3	Narrikup	S4	197	0.1	Down	21.55	50	5.02	179	1.915	0.1004	214.6414343	*	0.011	3.580	214.641	768.416	7684.163	27509.305	10.698
70	3	Antas 	S4	197	0.1	Up	5.13	50	3.013	105	1.073	0.06026	85.13109857	18.24623024	0.010	2.100	85.131	178.775	1787.753	3754.281	10.219
70	3	Antas 	S4	197	0.1	Down	1.4	19	1.4	52	0.64	0.073684211	19	*	0.012	2.737	19.000	52.000	520.000	1423.158	12.308
71	3	Woogenellup	S4	197	0.1	Up	8.2	50	1.93	203	1.289	0.0386	212.4352332	17.48012479	0.006	4.060	212.435	862.487	8624.870	35016.974	6.350
71	3	Woogenellup	S4	197	0.1	Down	1.1	45	1.1	102	0.665	0.024444444	45	*	0.007	2.267	45.000	102.000	1020.000	2312.000	6.520
72	3	Denmark	S4	197	0.1	Up	8.24	50	2.055	130	1.0244	0.0411	200.486618	13.01594004	0.008	2.600	200.487	521.265	5212.652	13552.895	7.880
72	3	Denmark	S4	197	0.1	Down	0.6	30	0.6	72	0.4377	0.02	30	*	0.006	2.400	30.000	72.000	720.000	1728.000	6.079
