date	hour	Air
28/07/2015	2	11.297
28/07/2015	3	10.638
28/07/2015	4	11.565
28/07/2015	5	10.173
28/07/2015	6	8.965
28/07/2015	7	8.095
28/07/2015	8	4.272
28/07/2015	9	6.026
28/07/2015	10	11.37
28/07/2015	11	13.233
28/07/2015	12	13.281
28/07/2015	13	12.678
28/07/2015	14	11.321
28/07/2015	15	10.026
28/07/2015	16	10.001
28/07/2015	17	9.139
28/07/2015	18	8.593
28/07/2015	19	7.87
28/07/2015	20	8.17
28/07/2015	21	7.82
28/07/2015	22	7.67
28/07/2015	23	7.192
29/07/2015	0	6.763
29/07/2015	1	6.509
29/07/2015	2	5.591
29/07/2015	3	3.906
29/07/2015	4	3.958
29/07/2015	5	3.617
29/07/2015	6	3.168
29/07/2015	7	2.343
29/07/2015	8	4.194
29/07/2015	9	5.154
29/07/2015	10	6.813
29/07/2015	11	8.891
29/07/2015	12	10.761
29/07/2015	13	10.173
29/07/2015	14	9.706
29/07/2015	15	8.543
29/07/2015	16	7.645
29/07/2015	17	6.484
29/07/2015	18	6.484
29/07/2015	19	6.23
29/07/2015	20	5.385
29/07/2015	21	5.745
29/07/2015	22	5.539
29/07/2015	23	5.231
30/07/2015	0	3.142
30/07/2015	1	2.128
30/07/2015	2	1.371
30/07/2015	3	1.344
30/07/2015	4	1.071
30/07/2015	5	-0.704
30/07/2015	6	-0.93
30/07/2015	7	-0.339
30/07/2015	8	-0.789
30/07/2015	9	2.637
30/07/2015	10	4.454
30/07/2015	11	7.066
30/07/2015	12	9.435
30/07/2015	13	9.262
30/07/2015	14	9.608
30/07/2015	15	10.026
30/07/2015	16	9.139
30/07/2015	17	7.293
30/07/2015	18	5.591
30/07/2015	19	3.88
30/07/2015	20	4.324
30/07/2015	21	4.168
30/07/2015	22	3.354
30/07/2015	23	4.063
31/07/2015	0	4.089
31/07/2015	1	2.343
31/07/2015	2	1.615
31/07/2015	3	2.53
31/07/2015	4	2.797
31/07/2015	5	3.406
31/07/2015	6	2.797
31/07/2015	7	2.316
31/07/2015	8	2.637
31/07/2015	9	4.558
31/07/2015	10	7.091
31/07/2015	11	8.717
31/07/2015	12	10.124
31/07/2015	13	11.273
31/07/2015	14	11.175
31/07/2015	15	11.54
31/07/2015	16	11.248
31/07/2015	17	9.139
