Temp	Cv	rep	startDate 	DateRead	CountedGerm 	HoursofTest	PercentGerm
30	Narrikup	4	17/07/15	23/07/15	0	157.00	0
30	Antas	1	17/07/15	24/07/15	1	181.00	2
30	Antas	2	17/07/15	24/07/15	9	181.00	18
30	Antas	3	17/07/15	24/07/15	2	181.00	4
30	Antas	4	17/07/15	24/07/15	4	181.00	8
30	Denmark	1	17/07/15	24/07/15	3	181.00	6
30	Denmark	2	17/07/15	24/07/15	7	181.00	14
30	Denmark	3	17/07/15	24/07/15	7	181.00	14
30	Denmark	4	17/07/15	24/07/15	6	181.00	12
30	Monti	1	17/07/15	24/07/15	0	181.00	0
30	Monti	2	17/07/15	24/07/15	2	181.00	4
30	Monti	3	17/07/15	24/07/15	2	181.00	4
30	Monti	4	17/07/15	24/07/15	2	181.00	4
30	Narrikup	1	17/07/15	24/07/15	0	181.00	0
30	Narrikup	2	17/07/15	24/07/15	0	181.00	0
30	Narrikup	3	17/07/15	24/07/15	0	181.00	0
30	Narrikup	4	17/07/15	24/07/15	2	181.00	4
30	Antas	1	17/07/15	25/07/15	3	205.00	6
30	Antas	2	17/07/15	25/07/15	7	205.00	14
30	Antas	3	17/07/15	25/07/15	5	205.00	10
30	Antas	4	17/07/15	25/07/15	4	205.00	8
30	Denmark	1	17/07/15	25/07/15	4	205.00	8
30	Denmark	2	17/07/15	25/07/15	7	205.00	14
30	Denmark	3	17/07/15	25/07/15	4	205.00	8
30	Denmark	4	17/07/15	25/07/15	3	205.00	6
30	Monti	1	17/07/15	25/07/15	1	205.00	2
30	Monti	2	17/07/15	25/07/15	2	205.00	4
30	Monti	3	17/07/15	25/07/15	0	205.00	0
30	Monti	4	17/07/15	25/07/15	1	205.00	2
30	Narrikup	1	17/07/15	25/07/15	0	205.00	0
30	Narrikup	2	17/07/15	25/07/15	0	205.00	0
30	Narrikup	3	17/07/15	25/07/15	1	205.00	2
30	Narrikup	4	17/07/15	25/07/15	2	205.00	4
30	Antas	1	17/07/15	26/07/15	4	229.00	8
30	Antas	2	17/07/15	26/07/15	1	229.00	2
30	Antas	3	17/07/15	26/07/15	6	229.00	12
30	Antas	4	17/07/15	26/07/15	3	229.00	6
30	Denmark	1	17/07/15	26/07/15	1	229.00	2
30	Denmark	2	17/07/15	26/07/15	2	229.00	4
30	Denmark	3	17/07/15	26/07/15	1	229.00	2
30	Denmark	4	17/07/15	26/07/15	2	229.00	4
30	Monti	1	17/07/15	26/07/15	1	229.00	2
30	Monti	2	17/07/15	26/07/15	0	229.00	0
30	Monti	3	17/07/15	26/07/15	1	229.00	2
30	Monti	4	17/07/15	26/07/15	2	229.00	4
30	Narrikup	1	17/07/15	26/07/15	0	229.00	0
30	Narrikup	2	17/07/15	26/07/15	2	229.00	4
30	Narrikup	3	17/07/15	26/07/15	0	229.00	0
30	Narrikup	4	17/07/15	26/07/15	1	229.00	2
30	Antas	1	17/07/15	27/07/15	2	253.00	4
30	Antas	2	17/07/15	27/07/15	0	253.00	0
30	Antas	3	17/07/15	27/07/15	3	253.00	6
30	Antas	4	17/07/15	27/07/15	1	253.00	2
30	Denmark	1	17/07/15	27/07/15	0	253.00	0
30	Denmark	2	17/07/15	27/07/15	1	253.00	2
30	Denmark	3	17/07/15	27/07/15	3	253.00	6
30	Denmark	4	17/07/15	27/07/15	1	253.00	2
30	Monti	1	17/07/15	27/07/15	0	253.00	0
30	Monti	2	17/07/15	27/07/15	3	253.00	6
30	Monti	3	17/07/15	27/07/15	1	253.00	2
30	Monti	4	17/07/15	27/07/15	1	253.00	2
30	Narrikup	1	17/07/15	27/07/15	0	253.00	0
30	Narrikup	2	17/07/15	27/07/15	0	253.00	0
30	Narrikup	3	17/07/15	27/07/15	1	253.00	2
