"date" "hour" "Air"
"780" 2015-08-02 4 7.494
"781" 2015-08-02 5 8.07
"782" 2015-08-02 6 7.469
"783" 2015-08-02 7 7.87
"784" 2015-08-02 8 8.543
"785" 2015-08-02 9 11.637
"786" 2015-08-02 10 12.558
"787" 2015-08-02 11 13.449
"788" 2015-08-02 12 15.342
"789" 2015-08-02 13 16.844
"790" 2015-08-02 14 18.2
"791" 2015-08-02 15 15.724
"792" 2015-08-02 16 14.864
"793" 2015-08-02 17 9.485
"794" 2015-08-02 18 7.97
"795" 2015-08-02 19 8.195
"796" 2015-08-02 20 8.494
"797" 2015-08-02 21 8.27
"798" 2015-08-02 22 7.594
"799" 2015-08-02 23 7.393
"800" 2015-08-03 0 6.889
"801" 2015-08-03 1 6.611
"802" 2015-08-03 2 6.026
"803" 2015-08-03 3 5.231
"804" 2015-08-03 4 9.015
"805" 2015-08-03 5 11.443
"806" 2015-08-03 6 12.703
"807" 2015-08-03 7 12.727
"808" 2015-08-03 8 13.137
"809" 2015-08-03 9 13.449
"810" 2015-08-03 10 15.247
"811" 2015-08-03 11 16.129
"812" 2015-08-03 12 16.63
"813" 2015-08-03 13 19.032
"814" 2015-08-03 14 20.246
"815" 2015-08-03 15 19.318
"816" 2015-08-03 16 18.652
