"Plot" "Cultivar" "SowingD" "SowTreat" "sample_area_m2" "Block" "Depth" "bur_total_weight_g" "bur_no_subSample" "bur_weight_subSample_g" "seed_weight_g" "Seedskg_ha"
119 "Denmark" "15/03/2016" "S7" 0.13 2 "Above" 6.31 50 1.54 0.558 175.873126873127
119 "Denmark" "15/03/2016" "S7" 0.13 2 "Below" 1.12 40 1.12 1.19 91.5384615384615
120 "Monti" "15/03/2016" "S7" 0.13 2 "Above" 8.26 50 4.08 1.163 181.115761689291
120 "Monti" "15/03/2016" "S7" 0.13 2 "Below" 11.22 50 3.13 1.198 330.340624231998
121 "Leura" "15/03/2016" "S7" 0.13 3 "Above" 13.85 50 2.68 1.024 407.07233065442
121 "Leura" "15/03/2016" "S7" 0.13 3 "Below" 1.73 33 1.73 0.47 36.1538461538461
122 "Woogenellup" "15/03/2016" "S7" 0.13 3 "Above" 2.42 62 2.42 0.686 52.7692307692308
122 "Woogenellup" "15/03/2016" "S7" 0.13 3 "Below" 3.21 66 3.21 0.803 61.7692307692308
123 "Antas" "15/03/2016" "S7" 0.13 3 "Above" 18.13 50 3.93 1.056 374.736347621844
123 "Antas" "15/03/2016" "S7" 0.13 3 "Below" 6.01 50 3.74 0.862 106.553270259153
124 "Monti" "15/03/2016" "S7" 0.13 3 "Above" 21.46 50 3.34 1.368 676.123445416859
124 "Monti" "15/03/2016" "S7" 0.13 3 "Below" 42.3 50 3.7 1.235 1086.08108108108
125 "Narrikup" "15/03/2016" "S7" 0.13 3 "Above" 0.99 51 0.99 0.214 16.4615384615385
125 "Narrikup" "15/03/2016" "S7" 0.13 3 "Below" 1.29 51 1.29 0.223 17.1538461538462
126 "Denmark" "15/03/2016" "S7" 0.13 3 "Above" 4.23 50 1.52 0.613 131.224190283401
126 "Denmark" "15/03/2016" "S7" 0.13 3 "Below" 0.61 15 0.61 0.237 18.2307692307692
