Cultivar 	Wavelength	Absorbance
Antas 	2921.64874	0.05028
Antas 	2919.72025	0.04929
Antas 	2917.79177	0.04778
Antas 	2915.86329	0.04589
Antas 	2913.93481	0.04393
Antas 	2912.00633	0.04221
Antas 	2910.07785	0.04083
Antas 	2908.14937	0.0397
Antas 	2906.22089	0.03872
Antas 	2904.29241	0.03784
Antas 	2902.36393	0.03703
Antas 	2900.43544	0.03623
Antas 	2898.50696	0.03544
Antas 	2896.57848	0.03468
Antas 	2894.65	0.03396
Antas 	2892.72152	0.03327
Antas 	2890.79304	0.03261
Antas 	2888.86456	0.032
Antas 	2886.93608	0.03146
Antas 	2885.0076	0.031
Antas 	2883.07912	0.03064
Antas 	2881.15063	0.03041
Antas 	2879.22215	0.03035
Antas 	2877.29367	0.03043
Antas 	2875.36519	0.03066
Antas 	2873.43671	0.03103
Antas 	2871.50823	0.0315
Antas 	2869.57975	0.03203
Antas 	2867.65127	0.03265
Antas 	2865.72279	0.03336
Antas 	2863.7943	0.03417
Antas 	2861.86582	0.03504
Antas 	2859.93734	0.03584
Antas 	2858.00886	0.03649
Antas 	2856.08038	0.03694
Antas 	2854.1519	0.03709
Antas 	2852.22342	0.03677
Antas 	2850.29494	0.03566
Antas 	2848.36646	0.03371
Antas 	2846.43798	0.0314
Antas 	2844.50949	0.02926
Antas 	2842.58101	0.02745
Antas 	2840.65253	0.02597
Antas 	2838.72405	0.02478
Antas 	2836.79557	0.02381
Antas 	2834.86709	0.02305
Antas 	2832.93861	0.02246
Antas 	2831.01013	0.02198
Antas 	2829.08165	0.02159
Antas 	2827.15317	0.02127
Antas 	2825.22468	0.02099
Antas 	2823.2962	0.02074
Antas 	2821.36772	0.02053
Antas 	2819.43924	0.02033
Antas 	2817.51076	0.02013
Antas 	2815.58228	0.01994
Antas 	2813.6538	0.01976
Antas 	2811.72532	0.0196
Antas 	2809.79684	0.01943
Antas 	2807.86836	0.01927
Antas 	2805.93987	0.01911
Antas 	2804.01139	0.01897
Antas 	2802.08291	0.01885
Antas 	2800.15443	0.01873
Antas 	2798.22595	0.01861
Antas 	2796.29747	0.01852
Antas 	2794.36899	0.01842
Antas 	2792.44051	0.01832
Antas 	2790.51203	0.01822
Antas 	2788.58355	0.01814
Antas 	2786.65506	0.01805
Antas 	2784.72658	0.01795
Antas 	2782.7981	0.01784
Antas 	2780.86962	0.01774
Antas 	2778.94114	0.01766
Antas 	2777.01266	0.01758
Antas 	2775.08418	0.01752
Antas 	2773.1557	0.01746
Antas 	2771.22722	0.01741
Antas 	2769.29874	0.01735
Antas 	2767.37025	0.01731
Antas 	2765.44177	0.01725
Antas 	2763.51329	0.0172
Antas 	2761.58481	0.01715
Antas 	2759.65633	0.0171
Antas 	2757.72785	0.01705
Antas 	2755.79937	0.01701
Antas 	2753.87089	0.01699
Antas 	2751.94241	0.01696
Antas 	2750.01393	0.01692
Antas 	2748.08544	0.01687
Antas 	2746.15696	0.01683
Antas 	2744.22848	0.0168
Antas 	2742.3	0.01677
Antas 	2740.37152	0.01673
Antas 	2738.44304	0.01669
Antas 	2736.51456	0.01664
Antas 	2734.58608	0.01659
Antas 	2732.6576	0.01654
Antas 	2730.72912	0.01651
Antas 	2728.80063	0.01647
Antas 	2726.87215	0.01642
Antas 	2724.94367	0.01637
Antas 	2723.01519	0.01633
Antas 	2721.08671	0.01631
Antas 	2719.15823	0.01627
Antas 	2717.22975	0.01622
Antas 	2715.30127	0.01617
Antas 	2713.37279	0.01611
Antas 	2711.4443	0.01604
Antas 	2709.51582	0.01598
Antas 	2707.58734	0.01593
Antas 	2705.65886	0.01588
Antas 	2703.73038	0.01582
Antas 	2701.8019	0.01577
Antas 	2699.87342	0.01572
Antas 	2697.94494	0.01566
Antas 	2696.01646	0.01561
Antas 	2694.08798	0.01555
Antas 	2692.15949	0.01548
Antas 	2690.23101	0.01539
Antas 	2688.30253	0.01532
Antas 	2686.37405	0.01528
Antas 	2684.44557	0.01523
Antas 	2682.51709	0.01519
Antas 	2680.58861	0.01514
Antas 	2678.66013	0.01508
Antas 	2676.73165	0.01502
Antas 	2674.80317	0.01496
Antas 	2672.87468	0.0149
Antas 	2670.9462	0.01485
Antas 	2669.01772	0.01479
Antas 	2667.08924	0.01472
Antas 	2665.16076	0.01467
Antas 	2663.23228	0.01463
Antas 	2661.3038	0.01458
Antas 	2659.37532	0.01452
Antas 	2657.44684	0.01446
Antas 	2655.51836	0.01441
Antas 	2653.58987	0.01435
Antas 	2651.66139	0.01429
Antas 	2649.73291	0.01422
Antas 	2647.80443	0.01417
Antas 	2645.87595	0.01411
Antas 	2643.94747	0.01406
Antas 	2642.01899	0.01401
Antas 	2640.09051	0.01396
Antas 	2638.16203	0.01391
Antas 	2636.23355	0.01388
Antas 	2634.30506	0.01385
Antas 	2632.37658	0.01381
Antas 	2630.4481	0.01375
Antas 	2628.51962	0.01369
Antas 	2626.59114	0.01361
Antas 	2624.66266	0.01355
Antas 	2622.73418	0.0135
Antas 	2620.8057	0.01345
Antas 	2618.87722	0.01339
Antas 	2616.94874	0.01334
Antas 	2615.02025	0.01331
Antas 	2613.09177	0.01328
Antas 	2611.16329	0.01324
Antas 	2609.23481	0.01318
Antas 	2607.30633	0.01313
Antas 	2605.37785	0.01309
Antas 	2603.44937	0.01305
Antas 	2601.52089	0.013
Antas 	2599.59241	0.01295
Antas 	2597.66393	0.01292
Antas 	2595.73544	0.01289
Antas 	2593.80696	0.01284
Antas 	2591.87848	0.01279
Antas 	2589.95	0.01273
Antas 	2588.02152	0.01266
Antas 	2586.09304	0.0126
Antas 	2584.16456	0.01255
Antas 	2582.23608	0.01253
Antas 	2580.3076	0.01251
Antas 	2578.37911	0.01249
Antas 	2576.45063	0.01246
Antas 	2574.52215	0.01243
Antas 	2572.59367	0.01239
Antas 	2570.66519	0.01233
Antas 	2568.73671	0.01228
Antas 	2566.80823	0.01223
Antas 	2564.87975	0.01219
Antas 	2562.95127	0.01216
Antas 	2561.02279	0.01214
Antas 	2559.0943	0.0121
Antas 	2557.16582	0.01205
Antas 	2555.23734	0.01201
Antas 	2553.30886	0.01196
Antas 	2551.38038	0.01192
Antas 	2549.4519	0.01189
Antas 	2547.52342	0.01187
Antas 	2545.59494	0.01185
Antas 	2543.66646	0.01183
Antas 	2541.73798	0.01179
Antas 	2539.80949	0.01174
Antas 	2537.88101	0.0117
Antas 	2535.95253	0.01167
Antas 	2534.02405	0.01166
Antas 	2532.09557	0.01164
Antas 	2530.16709	0.0116
Antas 	2528.23861	0.01156
Antas 	2526.31013	0.01152
Antas 	2524.38165	0.01149
Antas 	2522.45317	0.01146
Antas 	2520.52468	0.01143
Antas 	2518.5962	0.01139
Antas 	2516.66772	0.01135
Antas 	2514.73924	0.01134
Antas 	2512.81076	0.01133
Antas 	2510.88228	0.01132
Antas 	2508.9538	0.01128
Antas 	2507.02532	0.01123
Antas 	2505.09684	0.01119
Antas 	2503.16836	0.01116
Antas 	2501.23987	0.01113
Antas 	2499.31139	0.0111
Antas 	2497.38291	0.01106
Antas 	2495.45443	0.01104
Antas 	2493.52595	0.01102
Antas 	2491.59747	0.01099
Antas 	2489.66899	0.01095
Antas 	2487.74051	0.01091
Antas 	2485.81203	0.01086
Antas 	2483.88355	0.01082
Antas 	2481.95506	0.01079
Antas 	2480.02658	0.01079
Antas 	2478.0981	0.01078
Antas 	2476.16962	0.01076
Antas 	2474.24114	0.01071
Antas 	2472.31266	0.01068
