Cultivar	IncubationDays 	Wavelenght	Absorbance
Antas 	0	2763.51329	0.01388
Antas 	0	2761.58481	0.01382
Antas 	0	2759.65633	0.01378
Antas 	0	2757.72785	0.01371
Antas 	0	2755.79937	0.01367
Antas 	0	2753.87089	0.01367
Antas 	0	2751.94241	0.01364
Antas 	0	2750.01393	0.01358
Antas 	0	2748.08544	0.01354
Antas 	0	2746.15696	0.01346
Antas 	0	2744.22848	0.01337
Antas 	0	2742.3	0.01333
Antas 	0	2740.37152	0.01329
Antas 	0	2738.44304	0.01323
Antas 	0	2736.51456	0.01316
Antas 	0	2734.58608	0.01311
Antas 	0	2732.6576	0.01303
Antas 	0	2730.72912	0.01293
Antas 	0	2728.80063	0.01286
Antas 	0	2726.87215	0.01284
Antas 	0	2724.94367	0.01281
Antas 	0	2723.01519	0.01275
Antas 	0	2721.08671	0.01272
Antas 	0	2719.15823	0.01272
Antas 	0	2717.22975	0.01272
Antas 	0	2715.30127	0.01268
Antas 	0	2713.37279	0.01258
Antas 	0	2711.4443	0.01249
Antas 	0	2709.51582	0.01239
Antas 	0	2707.58734	0.01227
Antas 	0	2705.65886	0.01218
Antas 	0	2703.73038	0.01217
Antas 	0	2701.8019	0.01215
Antas 	0	2699.87342	0.0121
Antas 	0	2697.94494	0.01203
Antas 	0	2696.01646	0.01192
Antas 	0	2694.08798	0.01179
Antas 	0	2692.15949	0.01166
Antas 	0	2690.23101	0.01157
Antas 	0	2688.30253	0.0115
Antas 	0	2686.37405	0.01143
Antas 	0	2684.44557	0.01136
Antas 	0	2682.51709	0.01124
Antas 	0	2680.58861	0.01114
Antas 	0	2678.66013	0.01111
Antas 	0	2676.73165	0.01113
Antas 	0	2674.80317	0.01111
Antas 	0	2672.87468	0.01103
Antas 	0	2670.9462	0.01092
Antas 	0	2669.01772	0.01081
Antas 	0	2667.08924	0.01071
Antas 	0	2665.16076	0.01064
Antas 	0	2663.23228	0.0106
Antas 	0	2661.3038	0.01055
Antas 	0	2659.37532	0.01045
Antas 	0	2657.44684	0.01033
Antas 	0	2655.51836	0.01021
Antas 	0	2653.58987	0.0101
Antas 	0	2651.66139	0.01003
Antas 	0	2649.73291	0.00998
