wavelength	spc
2690.39748	0.03040
2688.46888	0.03032
2686.54028	0.03021
2684.61168	0.03015
2682.68308	0.03012
2680.75448	0.03012
2678.82588	0.03010
2676.89728	0.03004
2674.96868	0.02998
2673.04008	0.02998
2671.11148	0.02998
2669.18288	0.02994
2667.25428	0.02990
2665.32568	0.02989
2663.39708	0.02987
2661.46848	0.02981
2659.53988	0.02969
2657.61128	0.02953
2655.68267	0.02936
2653.75407	0.02926
2651.82547	0.02924
2649.89687	0.02922
2647.96827	0.02913
2646.03967	0.02900
2644.11107	0.02885
2642.18247	0.02871
2640.25387	0.02859
2638.32527	0.02844
2636.39667	0.02833
2634.46807	0.02832
2632.53947	0.02833
2630.61087	0.02824
2628.68227	0.02807
2626.75367	0.02793
2624.82507	0.02788
2622.89647	0.02779
2620.96787	0.02764
2619.03927	0.02750
2617.11067	0.02738
2615.18207	0.02722
2613.25347	0.02705
2611.32487	0.02696
2609.39627	0.02692
2607.46767	0.02687
2605.53907	0.02681
2603.61047	0.02675
2601.68187	0.02670
2599.75326	0.02663
2597.82466	0.02655
2595.89606	0.02647
2593.96746	0.02645
2592.03886	0.02645
2590.11026	0.02638
2588.18166	0.02625
2586.25306	0.02615
2584.32446	0.02612
2582.39586	0.02605
2580.46726	0.02592
2578.53866	0.02582
2576.61006	0.02583
2574.68146	0.02584
2572.75286	0.02576
2570.82426	0.02568
2568.89566	0.02566
2566.96706	0.02558
2565.03846	0.02542
2563.10986	0.02533
2561.18126	0.02532
2559.25266	0.02535
2557.32406	0.02534
2555.39546	0.02527
2553.46686	0.02519
2551.53826	0.02514
2549.60966	0.02509
2547.68106	0.02502
2545.75246	0.02492
2543.82385	0.02487
2541.89525	0.02490
2539.96665	0.02489
2538.03805	0.02480
2536.10945	0.02474
2534.18085	0.02472
2532.25225	0.02470
2530.32365	0.02465
2528.39505	0.02455
2526.46645	0.02443
2524.53785	0.02438
2522.60925	0.02440
2520.68065	0.02441
2518.75205	0.02441
2516.82345	0.02437
2514.89485	0.02425
2512.96625	0.02413
2511.03765	0.02408
2509.10905	0.02407
2507.18045	0.02406
2505.25185	0.02403
2503.32325	0.02398
2501.39465	0.02391
2499.46605	0.02386
2497.53745	0.02383
2495.60885	0.02377
2493.68025	0.02364
2491.75165	0.02352
2489.82305	0.02352
2487.89444	0.02355
2485.96584	0.02352
2484.03724	0.02350
2482.10864	0.02351
2480.18004	0.02345
2478.25144	0.02335
2476.32284	0.02330
2474.39424	0.02328
2472.46564	0.02324
2470.53704	0.02320
2468.60844	0.02318
2466.67984	0.02312
2464.75124	0.02304
2462.82264	0.02305
2460.89404	0.02312
2458.96544	0.02316
2457.03684	0.02313
2455.10824	0.02307
2453.17964	0.02301
2451.25104	0.02298
2449.32244	0.02301
2447.39384	0.02307
2445.46524	0.02307
2443.53664	0.02303
2441.60804	0.02292
2439.67944	0.02277
2437.75084	0.02267
2435.82224	0.02267
2433.89364	0.02268
2431.96503	0.02258
2430.03643	0.02248
2428.10783	0.02251
2426.17923	0.02256
2424.25063	0.02251
2422.32203	0.02243
2420.39343	0.02242
2418.46483	0.02246
2416.53623	0.02248
2414.60763	0.02240
2412.67903	0.02219
2410.75043	0.02199
2408.82183	0.02196
2406.89323	0.02204
2404.96463	0.02213
2403.03603	0.02219
2401.10743	0.02223
2399.17883	0.02225
