"LocationYear" "AuthorYear" "YearExperiment" "Location" "Country" "Treatcultivar" "SowingDate" "StartFlowering" "PercentFlower" "DaysToFlower"
"172" NA "FrancisAndGladstone1974" NA "Perth" "AU" "Uniwager" NA NA NA NA
"173" NA "FrancisAndGladstone1974" NA "Perth" "AU" "Mt.HelenaA" NA NA NA NA
"174" NA "FrancisAndGladstone1974" NA "Perth" "AU" "Daliak" NA NA NA NA
"175" NA "FrancisAndGladstone1974" NA "Perth" "AU" "ShentonParkA" NA NA NA NA
"176" NA "FrancisAndGladstone1974" NA "Perth" "AU" "Toodyay" NA NA NA NA
"177" NA "FrancisAndGladstone1974" NA "Perth" "AU" "Lake" NA NA NA NA
"178" NA "FrancisAndGladstone1974" NA "Perth" "AU" "Mulwala" NA NA NA NA
"179" NA "FrancisAndGladstone1974" NA "Perth" "AU" "Gingin" NA NA NA NA
"180" NA "FrancisAndGladstone1974" NA "Perth" "AU" "Darlington" NA NA NA NA
"181" NA "FrancisAndGladstone1974" NA "Perth" "AU" "Collie" NA NA NA NA
"182" NA "FrancisAndGladstone1974" NA "Perth" "AU" "Clackline" NA NA NA NA
"183" NA "FrancisAndGladstone1974" NA "Perth" "AU" "CPI12709" NA NA NA NA
"184" NA "FrancisAndGladstone1974" NA "Perth" "AU" "MidlandB" NA NA NA NA
"185" NA "FrancisAndGladstone1974" NA "Perth" "AU" "SeatonPark" NA NA NA NA
"186" NA "FrancisAndGladstone1974" NA "Perth" "AU" "Dinninup" NA NA NA NA
"187" NA "FrancisAndGladstone1974" NA "Perth" "AU" "NorthamB3" NA NA NA NA
"188" NA "FrancisAndGladstone1974" NA "Perth" "AU" "MahoganyCreek" NA NA NA NA
"189" NA "FrancisAndGladstone1974" NA "Perth" "AU" "BassendeanH" NA NA NA NA
"190" NA "FrancisAndGladstone1974" NA "Perth" "AU" "Woogenellup" NA NA NA NA
"191" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "Breedinglines" 1993-05-03 1993-10-09 50 159
"192" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "MediterraneanEcotypes_subterraneum" 1993-05-03 1993-10-19 50 169
"193" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "SardinianEcotypes_subterraneum" 1993-05-03 1993-10-15 50 165
"194" "Templeton1993" "WiddupAndPennel_2000" 1993 "Templeton" "NZ" "Whatawhataws536" 1993-05-03 1993-10-24 50 174
